AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year;;;;;;
"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,EU (fdf) - AV,20.11.2013,EU,767/13,0,""Benennung von Beauftragten des Bundesrates in Beratungsgremien der EuropÌ_ischen Union fÌ_r die Ratsarbeitsgruppe der """"VeterinÌ_rsachverstÌ_ndigen (Potsdam-Gruppe)"""""",2013";;;;;;
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,EU (fdf) - R - Wi,19.11.2013,EU,766/13,0,Vorschlag fÌ_r eine Verordnung des EuropÌ_ischen Parlaments und des Rates zur Ìãnderung der Verordnung (EG) Nr. 861/2007 des EuropÌ_ischen Parlaments und des Rates vom 11. Juli 2007 zur EinfÌ_hrung eines europÌ_ischen Verfahrens fÌ_r geringfÌ_gige Forderungen und der Verordnung (EG) Nr. 1896/2006 des EuropÌ_ischen Parlaments und des Rates vom 12. Dezember 2006 zur EinfÌ_hrung eines EuropÌ_ischen Mahnverfahrens,2013;;;;;;
0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,AV (fdf) - Fz - K,19.11.2013,AV,765/13,0,Entwurf eines ... Gesetzes zur Ìãnderung des Schulobstgesetzes,2013;;;;;;
"0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,EU (fdf) - AS - Wi,18.11.2013,EU,764/13,0,""Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates zur Ìãnderung der Richtlinien 2008/94/EG, 2009/38/EG, 2002/14/EG, 98/59/EG und 2001/23/EG in Bezug auf Seeleute"",2013";;;;;;
0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,Wi (fdf) - AS - Fz - G - Wo,15.11.2013,Wi,763/13,0,Jahresgutachten 2013/14 des SachverstÌ_ndigenrates zur Begutachtung der gesamtwirtschaftlichen Entwicklung,2013;;;;;;
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,EU (fdf) - AS - Fz - K - Wi,14.11.2013,EU,762/13,0,Entwurf des gemeinsamen BeschÌ_ftigungsberichts (Begleitdokument zur Mitteilung der Kommission zum Jahreswachstumsbericht 2014),2013;;;;;;
0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,EU (fdf) - AS - Fz - K - U - Wi,14.11.2013,EU,761/13,0,Mitteilung der Kommission: Jahreswachstumsbericht 2014,2013;;;;;;
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),07.11.2013,Fz,759/13,0,HaushaltsfÌ_hrung 2013 Mitteilung gemÌ_ÌÙ å¤ 37 Absatz 4 BHO Ì_ber die Einwilligung in eine Ì_berplanmÌ_ÌÙige Ausgabe bei Kapitel 3002 Titel 632 50 - BAfÌ¦G - SchÌ_lerinnen und SchÌ_ler - bis zur HÌ¦he von 83.000 T Euro,2013;;;;;;
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,EU (fdf) - In - U - Wi,06.11.2013,EU,758/13,0,Mitteilung der Kommission an das EuropÌ_ische Parlament und den Rat: DurchfÌ_hrung der Energieeffizienzrichtlinie - Leitlinien der Kommission,2013;;;;;;
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,AV (fdf) - G,06.11.2013,AV,757/13,0,Erste Verordnung zur Ìãnderung der HÌ_hner-Salmonellen-Verordnung,2013;;;;;;
"0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,In (fdf) - AS - Fz - K,05.11.2013,In,756/13,0,""Entwurf eines Gesetzes zur ÌĞffnung der Integrationskurse fÌ_r EU-BÌ_rgerinnen und EU-BÌ_rger, AuslÌ_nderinnen und AuslÌ_nder mit humanitÌ_ren, vÌ¦lkerrechtlichen oder politischen Aufenthaltserlaubnissen sowie fÌ_r FlÌ_chtlinge im laufenden Asylverfahren und Geduldete"",2013";;;;;;
0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,EU (fdf) - U - Wi,05.11.2013,EU,755/13,0,Vorschlag fÌ_r eine Richtlinie des EuropÌ_ischen Parlaments und des Rates zur Ìãnderung der Richtlinie 94/62/EG Ì_ber Verpackungen und VerpackungsabfÌ_lle im Hinblick auf eine Verringerung der Verwendung von KunststofftÌ_ten,2013;;;;;;
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,AV (fdf) - U,05.11.2013,AV,754/13,0,Verordnung Ì_ber Erhebungen zum forstlichen Umweltmonitoring (ForUmV),2013;;;;;;
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AV (fdf),05.11.2013,AV,753/13,0,Siebzehnte Verordnung zur Ìãnderung saatgutrechtlicher Verordnungen,2013;;;;;;
