AA,AIS,AV,EU,FJ,Fz,G,In,K,R,U,V,Vk,Wi,Wo,committees,date,fdf,id,other,title,year
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,EU (fdf) - K,12.11.2002,EU,844/02,0,"Benennung von Vertretern für die Beratungen zur Festlegung der Verhandlungsposition der Bundesrepublik Deutschland für den Rat (Bildung, Jugend und Kultur) - hier: Bereich Kultur",2002
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Wi (fdf),08.11.2002,Wi,843/02(neu),0,Bestimmung eines Mitglieds und eines stellvertretenden Mitglieds im Beirat des Erdölbevorratungsverbandes,2002
0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,Vk (fdf) - Fz - G - In,08.11.2002,Vk,842/02,0,Verordnung zur Änderung luftrechtlicher Vorschriften über Anforderungen an Flugbesatzungen,2002
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fz (fdf),08.11.2002,Fz,841/02,0,Vierundvierzigste Verordnung zur Durchführung des § 172 des Bundesentschädigungsgesetzes,2002
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A (fdf) - G,08.11.2002,A,840/02,0,Verordnung zur Änderung zusatzstoffrechtlicher und anderer lebensmittelrechtlicher Verordnungen,2002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A (fdf),08.11.2002,A,839/02,0,Erste Verordnung zur Änderung der Forstsaat-Herkunftsgebietsverordnung,2002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A (fdf),08.11.2002,A,838/02,0,Forstvermehrungsgut-Durchführungsverordnung (FoVDV),2002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A (fdf),08.11.2002,A,837/02,0,Forstvermehrungsgut-Zulassungsverordnung (FoVZV),2002
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,A (fdf) - G - U,08.11.2002,A,836/02,0,Vierte Verordnung zur Änderung der Düngemittelverordnung,2002
0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,Fz (fdf) - A - AS - U - Wi,14.11.2002,Fz,835/02,0,Gesetz zur Fortentwicklung der ökologischen Steuerreform,2002
0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,G (fdf) - Fz - K - Wi,15.11.2002,G,834/02,0,Zwölftes Gesetz zur Änderung des Fünften Buches Sozialgesetzbuch (Zwölftes SGB V-Änderungsgesetz - 12. SGB V-ÄndG),2002
